date	meantempm	meantempm_1	meantempm_2	meantempm_3	mintempm_1	mintempm_2	mintempm_3	meandewptm_1	meandewptm_2	meandewptm_3	maxdewptm_1	maxdewptm_2	maxdewptm_3	mindewptm_1	mindewptm_2	mindewptm_3	maxtempm_1	maxtempm_2	maxtempm_3
2016-05-19	13	10.0	10.0	12.0	4.0	3.0	6.0	6.0	5.0	6.0	9.0	7.0	9.0	3.0	3.0	3.0	17.0	16.0	17.0
2016-05-20	16	13.0	10.0	10.0	6.0	4.0	3.0	8.0	6.0	5.0	12.0	9.0	7.0	5.0	3.0	3.0	20.0	17.0	16.0
2016-05-21	16	16.0	13.0	10.0	10.0	6.0	4.0	10.0	8.0	6.0	13.0	12.0	9.0	4.0	5.0	3.0	23.0	20.0	17.0
2016-05-22	17	16.0	16.0	13.0	7.0	10.0	6.0	7.0	10.0	8.0	11.0	13.0	12.0	4.0	4.0	5.0	24.0	23.0	20.0
2016-05-23	20	17.0	16.0	16.0	8.0	7.0	10.0	11.0	7.0	10.0	15.0	11.0	13.0	8.0	4.0	4.0	26.0	24.0	23.0
2016-05-24	17	20.0	17.0	16.0	12.0	8.0	7.0	12.0	11.0	7.0	16.0	15.0	11.0	8.0	8.0	4.0	28.0	26.0	24.0
2016-05-25	18	17.0	20.0	17.0	13.0	12.0	8.0	12.0	12.0	11.0	15.0	16.0	15.0	9.0	8.0	8.0	21.0	28.0	26.0
2016-05-26	19	18.0	17.0	20.0	13.0	13.0	12.0	14.0	12.0	12.0	16.0	15.0	16.0	12.0	9.0	8.0	24.0	21.0	28.0
2016-05-27	20	19.0	18.0	17.0	12.0	13.0	13.0	13.0	14.0	12.0	15.0	16.0	15.0	11.0	12.0	9.0	26.0	24.0	21.0
2016-05-28	22	20.0	19.0	18.0	11.0	12.0	13.0	13.0	13.0	14.0	16.0	15.0	16.0	10.0	11.0	12.0	28.0	26.0	24.0
2016-05-29	22	22.0	20.0	19.0	14.0	11.0	12.0	15.0	13.0	13.0	19.0	16.0	15.0	12.0	10.0	11.0	29.0	28.0	26.0
2016-05-30	23	22.0	22.0	20.0	15.0	14.0	11.0	15.0	15.0	13.0	18.0	19.0	16.0	13.0	12.0	10.0	29.0	29.0	28.0
2016-05-31	22	23.0	22.0	22.0	17.0	15.0	14.0	17.0	15.0	15.0	19.0	18.0	19.0	13.0	13.0	12.0	29.0	29.0	29.0
2016-06-01	19	22.0	23.0	22.0	15.0	17.0	15.0	14.0	17.0	15.0	17.0	19.0	18.0	8.0	13.0	13.0	27.0	29.0	29.0
2016-06-02	17	19.0	22.0	23.0	14.0	15.0	17.0	15.0	14.0	17.0	18.0	17.0	19.0	13.0	8.0	13.0	24.0	27.0	29.0
2016-06-03	18	17.0	19.0	22.0	13.0	14.0	15.0	15.0	15.0	14.0	17.0	18.0	17.0	13.0	13.0	8.0	21.0	24.0	27.0
